example_num,ids
37,"[5, 59, 28, 47, 51, 13, 0, 24, 7, 45, 46, 42, 29, 9, 12, 14, 32, 57, 48, 17, 38, 43, 44, 33, 21, 60, 16, 18, 8, 41, 23, 30, 35, 6, 3, 4, 56]"
38,"[5, 59, 28, 47, 51, 13, 0, 24, 7, 45, 46, 42, 29, 9, 12, 14, 32, 57, 48, 17, 38, 43, 44, 33, 21, 60, 16, 18, 8, 41, 23, 30, 35, 6, 3, 4, 56, 20]"
39,"[5, 59, 28, 47, 51, 13, 0, 24, 7, 45, 46, 42, 29, 9, 12, 14, 32, 57, 48, 17, 38, 43, 44, 33, 21, 60, 16, 18, 8, 41, 23, 30, 35, 6, 3, 4, 56, 20, 49]"
40,"[5, 59, 28, 47, 51, 13, 0, 24, 7, 45, 46, 42, 29, 9, 12, 14, 32, 57, 48, 17, 38, 43, 44, 33, 21, 60, 16, 18, 8, 41, 23, 30, 35, 6, 3, 4, 56, 20, 49, 58]"
41,"[5, 59, 28, 47, 51, 13, 0, 24, 7, 45, 46, 42, 29, 9, 12, 14, 32, 57, 48, 17, 38, 43, 44, 33, 21, 60, 16, 18, 8, 41, 23, 30, 35, 6, 3, 4, 56, 20, 49, 58, 11]"
42,"[5, 59, 28, 47, 51, 13, 0, 24, 7, 45, 46, 42, 29, 9, 12, 14, 32, 57, 48, 17, 38, 43, 44, 33, 21, 60, 16, 18, 8, 41, 23, 30, 35, 6, 3, 4, 56, 20, 49, 58, 11, 36]"
43,"[5, 59, 28, 47, 51, 13, 0, 24, 7, 45, 46, 42, 29, 9, 12, 14, 32, 57, 48, 17, 38, 43, 44, 33, 21, 60, 16, 18, 8, 41, 23, 30, 35, 6, 3, 4, 56, 20, 49, 58, 11, 36, 22]"
44,"[5, 59, 28, 47, 51, 13, 0, 24, 7, 45, 46, 42, 29, 9, 12, 14, 32, 57, 48, 17, 38, 43, 44, 33, 21, 60, 16, 18, 8, 41, 23, 30, 35, 6, 3, 4, 56, 20, 49, 58, 11, 36, 22, 26]"
45,"[5, 59, 28, 47, 51, 13, 0, 24, 7, 45, 46, 42, 29, 9, 12, 14, 32, 57, 48, 17, 38, 43, 44, 33, 21, 60, 16, 18, 8, 41, 23, 30, 35, 6, 3, 4, 56, 20, 49, 58, 11, 36, 22, 26, 55]"
46,"[5, 59, 28, 47, 51, 13, 0, 24, 7, 45, 46, 42, 29, 9, 12, 14, 32, 57, 48, 17, 38, 43, 44, 33, 21, 60, 16, 18, 8, 41, 23, 30, 35, 6, 3, 4, 56, 20, 49, 58, 11, 36, 22, 26, 55, 37]"
47,"[5, 59, 28, 47, 51, 13, 0, 24, 7, 45, 46, 42, 29, 9, 12, 14, 32, 57, 48, 17, 38, 43, 44, 33, 21, 60, 16, 18, 8, 41, 23, 30, 35, 6, 3, 4, 56, 20, 49, 58, 11, 36, 22, 26, 55, 37, 31]"
48,"[5, 59, 28, 47, 51, 13, 0, 24, 7, 45, 46, 42, 29, 9, 12, 14, 32, 57, 48, 17, 38, 43, 44, 33, 21, 60, 16, 18, 8, 41, 23, 30, 35, 6, 3, 4, 56, 20, 49, 58, 11, 36, 22, 26, 55, 37, 31, 50]"
49,"[5, 59, 28, 47, 51, 13, 0, 24, 7, 45, 46, 42, 29, 9, 12, 14, 32, 57, 48, 17, 38, 43, 44, 33, 21, 60, 16, 18, 8, 41, 23, 30, 35, 6, 3, 4, 56, 20, 49, 58, 11, 36, 22, 26, 55, 37, 31, 50, 52]"
50,"[5, 59, 28, 47, 51, 13, 0, 24, 7, 45, 46, 42, 29, 9, 12, 14, 32, 57, 48, 17, 38, 43, 44, 33, 21, 60, 16, 18, 8, 41, 23, 30, 35, 6, 3, 4, 56, 20, 49, 58, 11, 36, 22, 26, 55, 37, 31, 50, 52, 25]"
51,"[5, 59, 28, 47, 51, 13, 0, 24, 7, 45, 46, 42, 29, 9, 12, 14, 32, 57, 48, 17, 38, 43, 44, 33, 21, 60, 16, 18, 8, 41, 23, 30, 35, 6, 3, 4, 56, 20, 49, 58, 11, 36, 22, 26, 55, 37, 31, 50, 52, 25, 39]"
52,"[5, 59, 28, 47, 51, 13, 0, 24, 7, 45, 46, 42, 29, 9, 12, 14, 32, 57, 48, 17, 38, 43, 44, 33, 21, 60, 16, 18, 8, 41, 23, 30, 35, 6, 3, 4, 56, 20, 49, 58, 11, 36, 22, 26, 55, 37, 31, 50, 52, 25, 39, 53]"
53,"[5, 59, 28, 47, 51, 13, 0, 24, 7, 45, 46, 42, 29, 9, 12, 14, 32, 57, 48, 17, 38, 43, 44, 33, 21, 60, 16, 18, 8, 41, 23, 30, 35, 6, 3, 4, 56, 20, 49, 58, 11, 36, 22, 26, 55, 37, 31, 50, 52, 25, 39, 53, 54]"
54,"[5, 59, 28, 47, 51, 13, 0, 24, 7, 45, 46, 42, 29, 9, 12, 14, 32, 57, 48, 17, 38, 43, 44, 33, 21, 60, 16, 18, 8, 41, 23, 30, 35, 6, 3, 4, 56, 20, 49, 58, 11, 36, 22, 26, 55, 37, 31, 50, 52, 25, 39, 53, 54, 34]"
55,"[5, 59, 28, 47, 51, 13, 0, 24, 7, 45, 46, 42, 29, 9, 12, 14, 32, 57, 48, 17, 38, 43, 44, 33, 21, 60, 16, 18, 8, 41, 23, 30, 35, 6, 3, 4, 56, 20, 49, 58, 11, 36, 22, 26, 55, 37, 31, 50, 52, 25, 39, 53, 54, 34, 10]"
56,"[5, 59, 28, 47, 51, 13, 0, 24, 7, 45, 46, 42, 29, 9, 12, 14, 32, 57, 48, 17, 38, 43, 44, 33, 21, 60, 16, 18, 8, 41, 23, 30, 35, 6, 3, 4, 56, 20, 49, 58, 11, 36, 22, 26, 55, 37, 31, 50, 52, 25, 39, 53, 54, 34, 10, 40]"
57,"[5, 59, 28, 47, 51, 13, 0, 24, 7, 45, 46, 42, 29, 9, 12, 14, 32, 57, 48, 17, 38, 43, 44, 33, 21, 60, 16, 18, 8, 41, 23, 30, 35, 6, 3, 4, 56, 20, 49, 58, 11, 36, 22, 26, 55, 37, 31, 50, 52, 25, 39, 53, 54, 34, 10, 40, 15]"
58,"[5, 59, 28, 47, 51, 13, 0, 24, 7, 45, 46, 42, 29, 9, 12, 14, 32, 57, 48, 17, 38, 43, 44, 33, 21, 60, 16, 18, 8, 41, 23, 30, 35, 6, 3, 4, 56, 20, 49, 58, 11, 36, 22, 26, 55, 37, 31, 50, 52, 25, 39, 53, 54, 34, 10, 40, 15, 19]"
59,"[5, 59, 28, 47, 51, 13, 0, 24, 7, 45, 46, 42, 29, 9, 12, 14, 32, 57, 48, 17, 38, 43, 44, 33, 21, 60, 16, 18, 8, 41, 23, 30, 35, 6, 3, 4, 56, 20, 49, 58, 11, 36, 22, 26, 55, 37, 31, 50, 52, 25, 39, 53, 54, 34, 10, 40, 15, 19, 1]"
60,"[5, 59, 28, 47, 51, 13, 0, 24, 7, 45, 46, 42, 29, 9, 12, 14, 32, 57, 48, 17, 38, 43, 44, 33, 21, 60, 16, 18, 8, 41, 23, 30, 35, 6, 3, 4, 56, 20, 49, 58, 11, 36, 22, 26, 55, 37, 31, 50, 52, 25, 39, 53, 54, 34, 10, 40, 15, 19, 1, 2]"
